name,price,link,image,category
ADIDAS IDAS Women Breaknet 2.0 Shoes -Black, 1999.00,https://www.jumia.com.eg/adidas-idas-women-breaknet-2.0-shoes-black-130482953.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/9284031/1.jpg?2574,shoes
Nike W Downshifter 13 Womens Footwear, 2654.00 -  3052.00,https://www.jumia.com.eg/nike-w-downshifter-13-womens-footwear-129943041.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/0349921/6.jpg?4552,shoes
ADIDAS IDAS LIT48 Advantage Base Tennis Shoes - Core Black, 1607.00 -  1622.00,https://www.jumia.com.eg/adidas-idas-lit48-advantage-base-tennis-shoes-core-black-51878567.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/587815/1.jpg?1303,shoes
Nike W Court Vision Lo Be Womens Footwear, 3139.00 -  3621.00,https://www.jumia.com.eg/nike-w-court-vision-lo-be-womens-footwear-129943012.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/0349921/2.jpg?3547,shoes
ADIDAS IDAS Women Vl Court 3.0 Shoes -Black, 2293.00 -  2637.00,https://www.jumia.com.eg/adidas-idas-women-vl-court-3.0-shoes-black-130482900.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/9284031/1.jpg?1413,shoes
ADIDAS IDAS Crazychaos 2000 Shoes - ftwr white, 3199.00,https://www.jumia.com.eg/adidas-idas-crazychaos-2000-shoes-ftwr-white-130079858.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/8970031/1.jpg?4339,shoes
Toobaco Women Canvas Casual Sneakers, 185.50 -  265.00,https://www.jumia.com.eg/women-canvas-casual-sneakers-toobaco-mpg943318.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/980442/1.jpg?2155,shoes
Nike W Court Vision Lo Nn Womens Footwear, 3343.00 -  3370.00,https://www.jumia.com.eg/nike-w-court-vision-lo-nn-womens-footwear-129943013.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/0349921/6.jpg?3581,shoes
ADIDAS LIT48 Advantage Base Tennis Shoes - Ftwr White, 1763.00 -  5089.00,https://www.jumia.com.eg/adidas-lit48-advantage-base-tennis-shoes-ftwr-white-51878610.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/687815/1.jpg?1031,shoes
Nike W Court Vision Alta Ltr Laced Shoes - White, 3617.00,https://www.jumia.com.eg/nike-w-court-vision-alta-ltr-laced-shoes-white-130605788.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/7506031/1.jpg?2630,shoes
ADIDAS Men • Sportswear ADVANTAGE BASE COURT LIFESTYLE SHOES GW9284, 2589.00,https://www.jumia.com.eg/adidas-men-sportswear-advantage-base-court-lifestyle-shoes-gw9284-30616003.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/061603/1.jpg?8869,shoes
Women Sock We3 Sneakers - Comfortable and Fashionable Footwear, 249.00,https://www.jumia.com.eg/generic-women-sock-we3-sneakers-comfortable-and-fashionable-footwear-36036800.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/863063/1.jpg?6116,shoes
Nike W Court Vision Lo Be Womens Footwear, 3352.00 -  3358.00,https://www.jumia.com.eg/nike-w-court-vision-lo-be-womens-footwear-129943011.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/0349921/2.jpg?4272,shoes
Nike W Revolution 7 Womens Footwear, 2543.00,https://www.jumia.com.eg/nike-w-revolution-7-womens-footwear-129943030.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/0349921/4.jpg?8369,shoes
ADIDAS DBF11 Adilette Aqua Swim Sandals/Slippers - Ftwr White, 614.00,https://www.jumia.com.eg/dbf11-adilette-aqua-swim-sandalsslippers-ftwr-white-adidas-mpg1152688.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/587815/1.jpg?1068,shoes
Reebok Lite Plus 4 Sneakers - Beige, 2557.00,https://www.jumia.com.eg/reebok-lite-plus-4-sneakers-beige-130977837.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/8779031/1.jpg?4611,shoes
ADIDAS IDAS Women Courtblock Bold Shoes -White, 2199.00 -  2375.00,https://www.jumia.com.eg/adidas-idas-women-courtblock-bold-shoes-white-130482949.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/9284031/1.jpg?4716,shoes
Nike W Downshifter 13 Womens Footwear, 2654.00,https://www.jumia.com.eg/nike-w-downshifter-13-womens-footwear-129943040.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/0349921/3.jpg?2745,shoes
Reebok Lite 4 Sneakers - Black, 2171.00,https://www.jumia.com.eg/reebok-lite-4-sneakers-black-130977839.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/8779031/1.jpg?3349,shoes
Nike W Mc Trainer 3 Womens Footwear, 3870.00 -  4213.00,https://www.jumia.com.eg/nike-w-mc-trainer-3-womens-footwear-129943047.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0349921/1.jpg?6614,shoes
Nike W Downshifter 13 Women's Footwear, 2654.00 -  2683.00,https://www.jumia.com.eg/nike-w-downshifter-13-womens-footwear-129943042.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/0349921/7.jpg?7463,shoes
Reebok Energen Lux Sneakers - White, 2171.00,https://www.jumia.com.eg/reebok-energen-lux-sneakers-white-130977830.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/8779031/1.jpg?2310,shoes
Ice Club Women Verneh Leather Shoes - Black, 349.00,https://www.jumia.com.eg/ice-club-women-verneh-leather-shoes-black-21016981.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/961012/1.jpg?9683,shoes
Nike W Revolution 7 Womens Footwear, 2566.00 -  2581.00,https://www.jumia.com.eg/nike-w-revolution-7-womens-footwear-129943029.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/0349921/2.jpg?7733,shoes
Nike Wmns Court Legacy Lift Womens Footwear, 3981.00 -  4286.00,https://www.jumia.com.eg/nike-wmns-court-legacy-lift-womens-footwear-129943018.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/0349921/4.jpg?6926,shoes
Puma Lex Wn S Hypernatural Black-Pale Pl Shoes - Women's Sports Footwear, 2888.00,https://www.jumia.com.eg/puma-lex-wn-s-hypernatural-black-pale-pl-shoes-womens-sports-footwear-131477632.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/6774131/1.jpg?7853,shoes
Sneaker for Women - Light and Soft Sole - White, 299.00,https://www.jumia.com.eg/generic-sneaker-for-women-light-and-soft-sole-white-45017268.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/271054/1.jpg?7454,shoes
ADIDAS IDAS Duramo Speed 2 Running Shoes Running Shoes - Grey, 3323.00,https://www.jumia.com.eg/adidas-idas-duramo-speed-2-running-shoes-running-shoes-grey-131457312.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/3754131/1.jpg?2134,shoes
"Puma Skyrocket Lite Engineered White, Silver & Grey Sneakers", 2912.00,https://www.jumia.com.eg/puma-skyrocket-lite-engineered-white-silver-grey-sneakers-128945150.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/1549821/1.jpg?9508,shoes
Reebok Lite Plus 4 Sneakers - Grey, 2557.00,https://www.jumia.com.eg/reebok-lite-plus-4-sneakers-grey-130977836.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/8779031/1.jpg?2474,shoes
Lace Up Sneakers Painted For Women SwS, 299.00,https://www.jumia.com.eg/lace-up-sneakers-painted-for-women-generic-mpg943193.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/271054/1.jpg?6184,shoes
Women Sock Sneakers in Beige, 190.00,https://www.jumia.com.eg/generic-women-sock-sneakers-in-beige-67806707.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/760876/1.jpg?9730,shoes
Toobaco Women Casual Leather Sneakers, 171.50 -  245.00,https://www.jumia.com.eg/women-casual-leather-sneakers-toobaco-mpg943443.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/231442/1.jpg?0966,shoes
Women Sock Sneakers - Black, 249.00,https://www.jumia.com.eg/generic-women-sock-sneakers-black-67806709.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/760876/1.jpg?6185,shoes
Women Lace Up Sneakers BLACK ZTR, 249.00,https://www.jumia.com.eg/generic-women-lace-up-sneakers-black-ztr-130766857.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/8667031/1.jpg?2263,shoes
Shoes with 5 cm Heel - Elegant Black Design, 375.00,https://www.jumia.com.eg/generic-shoes-with-5-cm-heel-elegant-black-design-23269704.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/796232/1.jpg?1210,shoes
Sneaker For Women - Light And Soft Sole - White, 299.00,https://www.jumia.com.eg/resha-womens-shoes-white-generic-mpg943206.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/832534/1.jpg?5057,shoes
Reebok Lite Plus 4 Sneakers - Black, 2557.00,https://www.jumia.com.eg/reebok-lite-plus-4-sneakers-black-130977816.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/8779031/1.jpg?4443,shoes
Reebok Flexagon Energy Tr 4 Sneakers - Grey, 2326.00,https://www.jumia.com.eg/reebok-flexagon-energy-tr-4-sneakers-grey-130977805.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/8779031/1.jpg?2432,shoes
mintra a Women's Cai Wire Easy Wear Sneakers - Red x Black, 450.00 -  575.00,https://www.jumia.com.eg/mintra-a-womens-cai-wire-easy-wear-sneakers-red-x-black-130113276.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/2311031/1.jpg?3378,shoes
Women Sock Sneakers in White – Stylish Comfort for Everyday Wear, 249.00,https://www.jumia.com.eg/generic-women-sock-sneakers-in-white-stylish-comfort-for-everyday-wear-95305703.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/750359/1.jpg?1002,shoes
Women Sock Sneakers - Black, 249.00,https://www.jumia.com.eg/generic-women-sock-sneakers-black-29446954.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/964492/1.jpg?6186,shoes
Reebok Energen Lux Sneakers - Black, 2171.00,https://www.jumia.com.eg/reebok-energen-lux-sneakers-black-130977815.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/8779031/1.jpg?2437,shoes
"Puma Skyrocket Lite Engineered Wns White, Silver & Grey Sneakers", 2912.00,https://www.jumia.com.eg/puma-skyrocket-lite-engineered-wns-white-silver-grey-sneakers-128945148.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/1549821/1.jpg?8952,shoes
ADIDAS IDAS Women Ultrarun 5 Running Shoes -White, 2899.00,https://www.jumia.com.eg/adidas-idas-women-ultrarun-5-running-shoes-white-130482967.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/9284031/1.jpg?3989,shoes
Reebok Energen Plus 2 Sneakers - Blue, 2799.00 -  2980.00,https://www.jumia.com.eg/reebok-energen-plus-2-sneakers-blue-130977829.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/8779031/1.jpg?2618,shoes
ADIDAS IDAS Women Breaknet Sleek Shoes -Green, 2206.00,https://www.jumia.com.eg/adidas-idas-women-breaknet-sleek-shoes-green-130482936.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/9284031/1.jpg?3509,shoes
Reebok Energen Plus 2 Sneakers - Black, 2007.00,https://www.jumia.com.eg/reebok-energen-plus-2-sneakers-black-130977803.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/8779031/1.jpg?2385,shoes
Nike Downshifter 13 Shoes for Men - Anthracite/Black-Wolf Grey, 3705.00,https://www.jumia.com.eg/nike-downshifter-13-shoes-for-men-anthraciteblack-wolf-grey-130120828.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/8021031/5.jpg?9240,shoes
Reebok Energen Plus 2 Sneakers - White, 2799.00,https://www.jumia.com.eg/reebok-energen-plus-2-sneakers-white-130977828.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/8779031/1.jpg?2515,shoes
ADIDAS Women Vl Court Bold Shoes -White, 2471.00,https://www.jumia.com.eg/adidas-women-vl-court-bold-shoes-white-130482923.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/9284031/1.jpg?2458,shoes
Nike W Revolution 7 Laced Shoes - Light Gray, 2600.00,https://www.jumia.com.eg/nike-w-revolution-7-laced-shoes-light-gray-130605791.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/7506031/1.jpg?2418,shoes
ADIDAS IDAS Lit48 Tennis Footwear Shoes - Black, 1586.00,https://www.jumia.com.eg/adidas-idas-lit48-tennis-footwear-shoes-black-52743371.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/334725/1.jpg?5633,shoes
Reebok Lite Plus 4 Sneakers - Black, 2557.00,https://www.jumia.com.eg/reebok-lite-plus-4-sneakers-black-130977838.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/8779031/1.jpg?4148,shoes
Reebok Lite Plus 4 Sneakers - White, 2557.00,https://www.jumia.com.eg/reebok-lite-plus-4-sneakers-white-130977835.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/8779031/1.jpg?2451,shoes
Nike W Mc Trainer 3 Laced Shoes - White, 3957.00,https://www.jumia.com.eg/nike-w-mc-trainer-3-laced-shoes-white-130605793.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/7506031/1.jpg?2468,shoes
Reebok Lite 4 Sneakers - Beige, 2171.00,https://www.jumia.com.eg/reebok-lite-4-sneakers-beige-130977840.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/8779031/1.jpg?2316,shoes
ADIDAS IDAS Women Advantage 2.0 Shoes -White, 2487.00,https://www.jumia.com.eg/adidas-idas-women-advantage-2.0-shoes-white-130482912.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/9284031/1.jpg?2165,shoes
Nike W Court Vision Alta Ltr Womens Footwear, 3538.00 -  3539.00,https://www.jumia.com.eg/nike-w-court-vision-alta-ltr-womens-footwear-129943016.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/0349921/6.jpg?4809,shoes
Nike Wmns Air Jordan 1 Mid Sneakers, 5113.00,https://www.jumia.com.eg/nike-wmns-air-jordan-1-mid-sneakers-130986502.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/5689031/1.jpg?7835,shoes
Puma Pwrframe Tr 3 Wn S Hypernatural Bla Shoes, 3851.00,https://www.jumia.com.eg/puma-pwrframe-tr-3-wn-s-hypernatural-bla-shoes-131477628.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/6774131/1.jpg?8615,shoes
Nike Wmns Court Legacy Lift Gfx 2 Laced Shoes - White, 4070.00,https://www.jumia.com.eg/nike-wmns-court-legacy-lift-gfx-2-laced-shoes-white-130605797.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/7506031/2.jpg?4026,shoes
Reebok Energen Tech Sneakers - White, 2456.00,https://www.jumia.com.eg/reebok-energen-tech-sneakers-white-130977808.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/8779031/1.jpg?2503,shoes
Nike Wmns Court Legacy Lift Womens Footwear, 3981.00 -  4016.00,https://www.jumia.com.eg/nike-wmns-court-legacy-lift-womens-footwear-129943017.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/0349921/5.jpg?3737,shoes
Nike W Court Vision Lo Nn Ms Laced Shoes - White, 3957.00,https://www.jumia.com.eg/nike-w-court-vision-lo-nn-ms-laced-shoes-white-130605798.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/7506031/1.jpg?2644,shoes
